bid,bname,taxa,
ENA|CP000653|CP000653.1,Enterobacter sp. 638 complete genome. [24-FEB-2017],Enterobacter sp. 638,
ENA|CP005991|CP005991.1,Enterobacter sp. R4-368 complete genome. [24-FEB-2017],Enterobacter sp. R4-368,
ENA|CP004083|CP004083.1,Enterobacteriaceae bacterium bta3-1 complete genome. [24-FEB-2017],Enterobacteriaceae bacterium bta3-1,
ENA|CP003938|CP003938.1,Enterobacteriaceae bacterium strain FGI 57 complete genome. [24-FEB-2017],Enterobacteriaceae bacterium strain FGI 57,
ENA|CP004856|CP004856.1,Enterococcus casseliflavus EC20 complete genome. [24-FEB-2017],Enterococcus casseliflavus,
ENA|CP002491|CP002491.1,Enterococcus faecalis 62 complete genome. [13-NOV-2015],Enterococcus faecalis,
ENA|CP003726|CP003726.1,Enterococcus faecalis D32 complete genome. [13-NOV-2015],Enterococcus faecalis,
ENA|CP004081|CP004081.1,Enterococcus faecalis DENG1 complete genome. [27-MAY-2016],Enterococcus faecalis,
ENA|CP002621|CP002621.1,Enterococcus faecalis OG1RF complete genome. [24-FEB-2017],Enterococcus faecalis,
ENA|HF558530|HF558530.1,Enterococcus faecalis str. Symbioflor 1 complete genome [13-NOV-2015],Enterococcus faecalis,
ENA|AE016830|AE016830.1,Enterococcus faecalis V583 complete genome. [24-FEB-2017],Enterococcus faecalis,
ENA|CP003351|CP003351.1,Enterococcus faecium Aus0004 complete genome. [11-NOV-2016],Enterococcus faecium,
ENA|CP006620|CP006620.1,Enterococcus faecium Aus0085 complete genome. [11-NOV-2016],Enterococcus faecium,
ENA|CP003583|CP003583.1,Enterococcus faecium DO complete genome. [24-FEB-2017],Enterococcus faecium,
ENA|CP004063|CP004063.1,Enterococcus faecium NRRL B-2354 complete genome. [13-NOV-2015],Enterococcus faecium,
ENA|CP006030|CP006030.1,Enterococcus faecium T110 complete genome. [24-FEB-2017],Enterococcus faecium,
ENA|CP003504|CP003504.1,Enterococcus hirae ATCC 9790 complete genome. [24-FEB-2017],Enterococcus hirae,
ENA|FP929058|FP929058.1,Enterococcus sp. 7L76 draft genome. [13-NOV-2015],Enterococcus sp. 7L76,
ENA|FN666575|FN666575.1,Erwinia amylovora ATCC 49946 chromosomal sequence. [11-NOV-2016],Erwinia amylovora,
ENA|FN434113|FN434113.1,Erwinia amylovora CFBP1430 complete genome [24-FEB-2017],Erwinia amylovora,
ENA|FP236843|FP236843.1,Erwinia billingiae strain Eb661 complete chromosome. [24-FEB-2017],Erwinia billingiae,
ENA|FP236842|FP236842.1,Erwinia pyrifoliae strain Ep1/96 complete chromosome. [11-NOV-2016],Erwinia pyrifoliae,
ENA|FN392235|FN392235.1,Erwinia pyrifoliae DSM 12163 complete genome culture collection DSM:12163 [24-FEB-2017],Erwinia pyrifoliae,
ENA|CP002124|CP002124.1,Erwinia sp. Ejp617 complete genome. [18-MAR-2017],Erwinia sp. Ejp617,
ENA|CU468135|CU468135.1,Erwinia tasmaniensis strain ET1/99 complete chromosome. [24-FEB-2017],Erwinia tasmaniensis,
ENA|AP012027|AP012027.1,Erysipelothrix rhusiopathiae str. Fujisawa DNA complete genome. [24-FEB-2017],Erysipelothrix rhusiopathiae,
ENA|CP000157|CP000157.1,Erythrobacter litoralis HTCC2594 complete genome. [24-FEB-2017],Erythrobacter litoralis,
ENA|CP007025|CP007025.1,Escherichia albertii KF1 complete genome. [24-FEB-2017],Escherichia albertii,
ENA|LM993812|LM993812.1,Escherichia coli strain K-12 substr. HMS174 genome assembly chromosome: 1 [11-NOV-2016],Escherichia coli,
ENA|LM995446|LM995446.1,Escherichia coli strain K-12 substr. RV308 genome assembly chromosome: 1 [11-NOV-2016],Escherichia coli,
ENA|HF572917|HF572917.2,Escherichia coli HUSEC2011 complete genome [11-NOV-2016],Escherichia coli,
ENA|CP007265|CP007265.1,Escherichia coli strain ST540 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP007390|CP007390.1,Escherichia coli strain ST540 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP007392|CP007392.1,Escherichia coli strain ST2747 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP010315|CP010315.1,Escherichia coli strain 789 complete genome. [24-MAR-2017],Escherichia coli,
ENA|CP010371|CP010371.1,Escherichia coli strain 6409 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP010816|CP010816.1,Escherichia coli strain BL21 (TaKaRa) complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP010585|CP010585.1,Escherichia coli strain C41(DE3) complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP011018|CP011018.1,Escherichia coli strain CI5 complete genome. [24-FEB-2017],Escherichia coli,
ENA|FN554766|FN554766.1,Escherichia coli 042 complete genome [24-FEB-2017],Escherichia coli,
ENA|CP000247|CP000247.1,Escherichia coli 536 complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP009166|CP009166.1,Escherichia coli 1303 complete genome. [24-MAR-2017],Escherichia coli,
ENA|CU928145|CU928145.2,Escherichia coli 55989 chromosome complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP001665|CP001665.1,Escherichia coli 'BL21-Gold(DE3)pLysS AG' complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP001671|CP001671.1,Escherichia coli ABU 83972 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP005930|CP005930.1,Escherichia coli APEC IMT5155 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP000468|CP000468.1,Escherichia coli APEC O1 complete genome. [24-MAR-2017],Escherichia coli,
ENA|CP004009|CP004009.1,Escherichia coli APEC O78 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP000946|CP000946.1,Escherichia coli ATCC 8739 complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP005998|CP005998.1,Escherichia coli B7A complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP000819|CP000819.1,Escherichia coli B str. REL606 complete genome. [11-NOV-2016],Escherichia coli,
ENA|AM946981|AM946981.2,Escherichia coli BL21(DE3) complete genome [11-NOV-2016],Escherichia coli,
ENA|CP001509|CP001509.3,Escherichia coli BL21(DE3) complete genome. [18-FEB-2017],Escherichia coli,
ENA|CP001396|CP001396.1,Escherichia coli BW2952 complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP009273|CP009273.1,Escherichia coli BW25113 complete genome. [24-FEB-2017],Escherichia coli,
ENA|AE014075|AE014075.1,Escherichia coli CFT073 complete genome. [24-FEB-2017],Escherichia coli,
ENA|AP012030|AP012030.1,Escherichia coli DH1 (ME8569) DNA complete genome. [07-OCT-2016],Escherichia coli,
ENA|CP001637|CP001637.1,Escherichia coli DH1 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP010344|CP010344.1,Escherichia coli ECC-1470 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CU928162|CU928162.2,Escherichia coli ED1a chromosome complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP009644|CP009644.1,Escherichia coli ER2796 complete genome. [11-NOV-2016],Escherichia coli,
ENA|FN649414|FN649414.1,Escherichia coli ETEC H10407 complete genome [24-FEB-2017],Escherichia coli,
ENA|CP000802|CP000802.1,Escherichia coli HS complete genome. [24-FEB-2017],Escherichia coli,
ENA|CU928160|CU928160.2,Escherichia coli IAI1 chromosome complete genome. [24-FEB-2017],Escherichia coli,
ENA|CU928164|CU928164.2,Escherichia coli IAI39 chromosome complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP001969|CP001969.1,Escherichia coli IHE3034 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP006784|CP006784.1,Escherichia coli JJ1886 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP009789|CP009789.1,Escherichia coli K-12 strain ER3413 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP010445|CP010445.1,Escherichia coli K-12 strain ER3435 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP010439|CP010439.1,Escherichia coli K-12 strain ER3440 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP010441|CP010441.1,Escherichia coli K-12 strain ER3445 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP010443|CP010443.1,Escherichia coli K-12 strain ER3446 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP010438|CP010438.1,Escherichia coli K-12 strain ER3454 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP010442|CP010442.1,Escherichia coli K-12 strain ER3466 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP010444|CP010444.1,Escherichia coli K-12 strain ER3475 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP010440|CP010440.1,Escherichia coli K-12 strain ER3476 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP008801|CP008801.1,Escherichia coli KLY complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP002516|CP002516.1,Escherichia coli KO11 complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP002970|CP002970.1,Escherichia coli KO11FL complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP006584|CP006584.1,Escherichia coli LY180 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP002797|CP002797.2,Escherichia coli NA114 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP007799|CP007799.1,Escherichia coli Nissle 1917 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP003034|CP003034.1,Escherichia coli O7:K1 str. CE10 complete genome. [24-MAR-2017],Escherichia coli,
ENA|AP010953|AP010953.1,Escherichia coli O26:H11 str. 11368 DNA complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP001846|CP001846.1,Escherichia coli O55:H7 str. CB9615 complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP003109|CP003109.1,Escherichia coli O55:H7 str. RM12579 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP001855|CP001855.1,Escherichia coli O83:H1 str. NRG 857C complete genome. [18-MAR-2017],Escherichia coli,
ENA|AP010958|AP010958.1,Escherichia coli O103:H2 str. 12009 DNA complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP003297|CP003297.1,Escherichia coli O104:H4 str. 2009EL-2050 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP003301|CP003301.1,Escherichia coli O104:H4 str. 2009EL-2071 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP003289|CP003289.1,Escherichia coli O104:H4 str. 2011C-3493 complete genome. [24-MAR-2017],Escherichia coli,
ENA|CP011331|CP011331.1,Escherichia coli O104:H4 str. C227-11 complete genome. [11-NOV-2016],Escherichia coli,
ENA|AP010960|AP010960.1,Escherichia coli O111:H- str. 11128 DNA complete genome. [24-FEB-2017],Escherichia coli,
ENA|FM180568|FM180568.1,Escherichia coli 0127:H6 E2348/69 complete genome strain E2348/69 [24-FEB-2017],Escherichia coli,
ENA|CP000800|CP000800.1,Escherichia coli E24377A complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP007136|CP007136.1,Escherichia coli O145:H28 str. RM12581 complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP007133|CP007133.1,Escherichia coli O145:H28 str. RM12761 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP006027|CP006027.1,Escherichia coli O145:H28 str. RM13514 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP006262|CP006262.1,Escherichia coli O145:H28 str. RM13516 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP001164|CP001164.1,Escherichia coli O157:H7 str. EC4115 complete genome. [24-FEB-2017],Escherichia coli,
ENA|AE005174|AE005174.2,Escherichia coli O157:H7 str. EDL933 genome. [08-MAY-2017],Escherichia coli,
ENA|CP008957|CP008957.1,Escherichia coli O157:H7 str. EDL933 complete genome. [24-FEB-2017],Escherichia coli,
ENA|BA000007|BA000007.2,Escherichia coli O157:H7 str. Sakai DNA complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP008805|CP008805.1,Escherichia coli O157:H7 str. SS17 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP001368|CP001368.1,Escherichia coli O157:H7 str. TW14359 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP007592|CP007592.1,Escherichia coli O157:H16 strain Santai complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP002291|CP002291.1,Escherichia coli P12b complete genome. [24-FEB-2017],Escherichia coli,
ENA|HG428755|HG428755.1,Escherichia coli PMV-1 main chromosome complete genome [11-NOV-2016],Escherichia coli,
ENA|CU928161|CU928161.2,Escherichia coli S88 chromosome complete genome. [24-FEB-2017],Escherichia coli,
ENA|AP009240|AP009240.1,Escherichia coli SE11 DNA complete genome. [24-FEB-2017],Escherichia coli,
ENA|AP009378|AP009378.1,Escherichia coli SE15 DNA complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP000970|CP000970.1,Escherichia coli SMS-3-5 complete genome. [24-FEB-2017],Escherichia coli,
ENA|HG941718|HG941718.1,Escherichia coli ST131 strain EC958 chromosome complete genome [24-FEB-2017],Escherichia coli,
ENA|CP002211|CP002211.1,Escherichia coli str. 'clone D i2' complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP002212|CP002212.1,Escherichia coli str. 'clone D i14' complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP000948|CP000948.1,Escherichia coli str. K12 substr. DH10B complete genome. [24-FEB-2017],Escherichia coli,
ENA|HG738867|HG738867.1,Escherichia coli str. K-12 substr. MC4100 complete genome [11-NOV-2016],Escherichia coli,
ENA|AP012306|AP012306.1,Escherichia coli str. K-12 substr. MDS42 DNA complete genome. [24-FEB-2017],Escherichia coli,
ENA|U00096|U00096.3,Escherichia coli str. K-12 substr. MG1655 complete genome. [24-FEB-2017],Escherichia coli,
ENA|AP009048|AP009048.1,Escherichia coli str. K-12 substr. W3110 DNA complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP002167|CP002167.1,Escherichia coli UM146 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CU928163|CU928163.2,Escherichia coli UMN026 chromosome complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP002729|CP002729.1,Escherichia coli UMNK88 complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP000243|CP000243.1,Escherichia coli UTI89 complete genome. [24-FEB-2017],Escherichia coli,
ENA|CP011134|CP011134.1,Escherichia coli VR50 complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP002185|CP002185.1,Escherichia coli W complete genome. [18-MAR-2017],Escherichia coli,
ENA|CP002967|CP002967.1,Escherichia coli W complete genome. [11-NOV-2016],Escherichia coli,
ENA|CP001925|CP001925.1,Escherichia coli Xuzhou21 complete genome. [24-MAR-2017],Escherichia coli,
ENA|CU928158|CU928158.2,Escherichia fergusonii ATCC 35469 chromosome complete genome [24-FEB-2017],Escherichia fergusonii,
ENA|CP002400|CP002400.1,Ethanoligenens harbinense YUAN-3 complete genome. [24-FEB-2017],Ethanoligenens harbinense,
ENA|CP007452|CP007452.1,Eubacterium acidaminophilum DSM 3953 complete genome. [24-FEB-2017],Eubacterium acidaminophilum,
ENA|CP002273|CP002273.2,Eubacterium limosum KIST612 complete genome. [24-FEB-2017],Eubacterium limosum,
ENA|CP001107|CP001107.1,Eubacterium rectale ATCC 33656 complete genome. [24-FEB-2017],Eubacterium rectale,
ENA|FP929042|FP929042.1,Eubacterium rectale DSM 17629 draft genome. [24-FEB-2017],Eubacterium rectale,
ENA|FP929043|FP929043.1,Eubacterium rectale M104/1 draft genome. [24-FEB-2017],Eubacterium rectale,
ENA|CP003063|CP003063.1,Exiguobacterium antarcticum B7 complete genome. [24-FEB-2017],Exiguobacterium antarcticum,
ENA|CP001022|CP001022.1,Exiguobacterium sibiricum 255-15 complete genome. [24-FEB-2017],Exiguobacterium sibiricum,
ENA|CP001615|CP001615.1,Exiguobacterium sp. AT1b complete genome. [24-FEB-2017],Exiguobacterium sp. AT1b,
ENA|CP006866|CP006866.1,Exiguobacterium sp. MH3 complete genome. [27-MAY-2016],Exiguobacterium sp. MH3,
ENA|FP929045|FP929045.1,Faecalibacterium prausnitzii L2/6 draft genome. [24-FEB-2017],Faecalibacterium prausnitzii,
ENA|FP929046|FP929046.1,Faecalibacterium prausnitzii SL3/3 draft genome. [24-FEB-2017],Faecalibacterium prausnitzii,
ENA|CP002209|CP002209.1,Ferrimonas balearica DSM 9799 complete genome. [24-FEB-2017],Ferrimonas balearica,
ENA|CP000771|CP000771.1,Fervidobacterium nodosum Rt17-B1 complete genome. [24-FEB-2017],Fervidobacterium nodosum,
ENA|CP003260|CP003260.1,Fervidobacterium pennivorans DSM 9078 complete genome. [24-FEB-2017],Fervidobacterium pennivorans,
ENA|CP002158|CP002158.1,Fibrobacter succinogenes subsp. succinogenes S85 complete genome. [24-FEB-2017],Fibrobacter succinogenes,
ENA|CP001792|CP001792.1,Fibrobacter succinogenes subsp. succinogenes S85 complete genome. [24-FEB-2017],Fibrobacter succinogenes,
ENA|CP002390|CP002390.1,Filifactor alocis ATCC 35896 complete genome. [24-FEB-2017],Filifactor alocis,
ENA|CP007139|CP007139.1,Fimbriimonas ginsengisoli Gsoil 348 complete genome. [24-FEB-2017],Fimbriimonas ginsengisoli,
ENA|AP008971|AP008971.1,Finegoldia magna ATCC 29328 DNA complete genome. [24-FEB-2017],Finegoldia magna,
ENA|CP001673|CP001673.1,Flavobacteriaceae bacterium 3519-10 complete genome. [24-FEB-2017],Flavobacteriaceae bacterium 3519-10,
ENA|FQ859183|FQ859183.1,Flavobacterium branchiophilum FL-15 complete genome. [24-FEB-2017],Flavobacterium branchiophilum,
ENA|CP003222|CP003222.2,Flavobacterium columnare ATCC 49512 complete genome. [24-FEB-2017],Flavobacterium columnare,
ENA|HE774682|HE774682.1,Flavobacterium indicum GPTSA100-9 complete genome [24-FEB-2017],Flavobacterium indicum,
ENA|CP000685|CP000685.1,Flavobacterium johnsoniae UW101 complete genome. [24-FEB-2017],Flavobacterium johnsoniae,
ENA|CP007627|CP007627.1,Flavobacterium psychrophilum strain CSF259-93 complete genome. [24-FEB-2017],Flavobacterium psychrophilum,
ENA|CP008878|CP008878.1,Flavobacterium psychrophilum strain V3-5 complete genome. [13-NOV-2015],Flavobacterium psychrophilum,
ENA|CP008881|CP008881.1,Flavobacterium psychrophilum strain V4-24 complete genome. [13-NOV-2015],Flavobacterium psychrophilum,
ENA|CP008883|CP008883.1,Flavobacterium psychrophilum strain v4-33 complete genome. [13-NOV-2015],Flavobacterium psychrophilum,
ENA|CP008902|CP008902.1,Flavobacterium psychrophilum strain 950106-1/1 complete genome. [11-NOV-2016],Flavobacterium psychrophilum,
ENA|CP010278|CP010278.2,Flavobacterium psychrophilum strain 3 genome. [11-NOV-2016],Flavobacterium psychrophilum,
ENA|CP010274|CP010274.2,Flavobacterium psychrophilum strain 5 genome. [11-NOV-2016],Flavobacterium psychrophilum,
ENA|CP010275|CP010275.2,Flavobacterium psychrophilum strain MH1 genome. [11-NOV-2016],Flavobacterium psychrophilum,
ENA|CP010276|CP010276.2,Flavobacterium psychrophilum strain PG2 complete genome. [11-NOV-2016],Flavobacterium psychrophilum,
ENA|CP010277|CP010277.2,Flavobacterium psychrophilum strain VQ50 genome. [11-NOV-2016],Flavobacterium psychrophilum,
ENA|CP010798|CP010798.1,Flavobacterium psychrophilum strain 4 complete genome. [27-FEB-2016],Flavobacterium psychrophilum,
ENA|CP007207|CP007207.1,Flavobacterium psychrophilum FPG3 complete genome. [24-FEB-2017],Flavobacterium psychrophilum,
ENA|CP007206|CP007206.1,Flavobacterium psychrophilum FPG101 complete genome. [13-NOV-2015],Flavobacterium psychrophilum,
ENA|AM398681|AM398681.2,Flavobacterium psychrophilum JIP02/86 complete genome [24-FEB-2017],Flavobacterium psychrophilum,
ENA|CP003345|CP003345.1,Flexibacter litoralis DSM 6794 complete genome. [24-FEB-2017],Flexibacter litoralis,
ENA|CP002858|CP002858.1,Flexistipes sinusarabici DSM 4947 complete genome. [24-FEB-2017],Flexistipes sinusarabici,
ENA|CP002542|CP002542.1,Fluviicola taffensis DSM 16823 complete genome. [24-FEB-2017],Fluviicola taffensis,
ENA|HG315671|HG315671.1,Formosa agariphila KMM 3901 complete genome [24-FEB-2017],Formosa agariphila,
ENA|CP010427|CP010427.1,Francisella guangzhouensis strain 08HL01032 complete genome. [24-FEB-2017],Francisella guangzhouensis,
ENA|CP006875|CP006875.1,Francisella noatunensis subsp. orientalis LADL--07-285A complete genome. [27-MAY-2016],Francisella noatunensis,
ENA|CP003402|CP003402.1,Francisella noatunensis subsp. orientalis str. Toba 04 complete genome. [24-FEB-2017],Francisella noatunensis,
ENA|CP009436|CP009436.1,Francisella philomiragia strain O#319-067 complete genome. [11-NOV-2016],Francisella philomiragia,
ENA|CP009444|CP009444.1,Francisella philomiragia strain GA01-2801 complete genome. [24-FEB-2017],Francisella philomiragia,
ENA|CP009440|CP009440.1,Francisella philomiragia strain GA01-2794 complete genome. [24-FEB-2017],Francisella philomiragia,
ENA|CP009442|CP009442.1,Francisella philomiragia strain O#319-036 [FSC 153] complete genome. [11-NOV-2016],Francisella philomiragia,
ENA|CP010019|CP010019.1,Francisella philomiragia subsp. philomiragia ATCC 25015 strain O#319L complete genome. [24-FEB-2017],Francisella philomiragia,
ENA|CP000937|CP000937.1,Francisella philomiragia subsp. philomiragia ATCC 25017 complete genome. [24-FEB-2017],Francisella philomiragia,
ENA|CP009574|CP009574.1,Francisella sp. FSC1006 complete genome. [24-FEB-2017],Francisella sp. FSC1006,
ENA|CP002872|CP002872.1,Francisella sp. TX077308 complete genome. [24-FEB-2017],Francisella sp. TX077308,
ENA|CP010288|CP010288.1,Francisella tularensis subsp. holarctica strain VT68 complete genome. [11-NOV-2016],Francisella tularensis,
ENA|CP010289|CP010289.1,Francisella tularensis subsp. holarctica strain 425 complete genome. [11-NOV-2016],Francisella tularensis,
ENA|CP009693|CP009693.1,Francisella tularensis subsp. holarctica strain FTT_1 complete genome. [24-FEB-2017],Francisella tularensis,
ENA|CP003932|CP003932.1,Francisella tularensis subsp. holarctica F92 complete genome. [13-NOV-2015],Francisella tularensis,
ENA|CP003862|CP003862.1,Francisella tularensis subsp. holarctica FSC200 complete genome. [13-NOV-2015],Francisella tularensis,
ENA|CP000803|CP000803.1,Francisella tularensis subsp. holarctica FTNF002-00 complete genome. [24-FEB-2017],Francisella tularensis,
ENA|AM233362|AM233362.1,Francisella tularensis subsp. holarctica LVS complete genome [24-FEB-2017],Francisella tularensis,
ENA|CP009694|CP009694.1,Francisella tularensis subsp. holarctica LVS complete genome. [11-NOV-2016],Francisella tularensis,
ENA|CP000437|CP000437.1,Francisella tularensis subsp. holarctica OSU18 complete genome. [24-FEB-2017],Francisella tularensis,
ENA|BK006741|BK006741.1,TPA: Francisella tularensis subsp. holarctica OSU18 complete genome. [22-JAN-2015],Francisella tularensis,
ENA|CP007148|CP007148.1,Francisella tularensis subsp. holarctica PHIT-FT049 complete genome. [27-FEB-2016],Francisella tularensis,
ENA|CP000915|CP000915.1,Francisella tularensis subsp. mediasiatica FSC147 complete genome. [24-FEB-2017],Francisella tularensis,
ENA|CP009607|CP009607.1,Francisella tularensis subsp. novicida D9876 complete genome. [11-NOV-2016],Francisella tularensis,
ENA|CP009353|CP009353.1,Francisella tularensis subsp. novicida F6168 complete genome. [11-NOV-2016],Francisella tularensis,
ENA|CP000439|CP000439.1,Francisella tularensis subsp. novicida U112 complete genome. [24-FEB-2017],Francisella tularensis,
ENA|CP009633|CP009633.1,Francisella tularensis subsp. novicida U112 complete genome. [11-NOV-2016],Francisella tularensis,
ENA|CP010115|CP010115.1,Francisella tularensis subsp. tularensis strain NIH B-38 complete genome. [11-NOV-2016],Francisella tularensis,
ENA|CP010103|CP010103.1,Francisella tularensis subsp. novicida strain DPG 3A-IS complete genome. [24-FEB-2017],Francisella tularensis,
ENA|AM286280|AM286280.1,Francisella tularensis subsp. tularensis strain FSC 198 complete genome [24-FEB-2017],Francisella tularensis,
ENA|CP001633|CP001633.1,Francisella tularensis subsp. tularensis NE061598 complete genome. [13-NOV-2015],Francisella tularensis,
ENA|AJ749949|AJ749949.2,Francisella tularensis subsp. tularensis SCHU S4 complete genome [24-FEB-2017],Francisella tularensis,
ENA|CP010290|CP010290.1,Francisella tularensis subsp. tularensis SCHU S4 complete genome. [24-FEB-2017],Francisella tularensis,
ENA|CP010446|CP010446.2,Francisella tularensis subsp. tularensis str. SCHU S4 substr. NR-28534 complete genome. [11-NOV-2016],Francisella tularensis,
